date,r_btc,r_basket,r_ls,cost,r_ls_net,equity_curve
2024-01-01,,,,0.0,,1.0
2024-01-02,,,,0.0,,1.0
2024-01-03,,,,0.0,,1.0
2024-01-04,,,,0.0,,1.0
2024-01-05,,,,0.0,,1.0
2024-01-06,,,,0.0,,1.0
2024-01-07,,,,0.0,,1.0
2024-01-08,,,,0.0,,1.0
2024-01-09,,,,0.0,,1.0
2024-01-10,,,,0.0,,1.0
2024-01-11,,,,0.0,,1.0
2024-01-12,,,,0.0,,1.0
2024-01-13,,,,0.0,,1.0
2024-01-14,,,,0.0,,1.0
2024-01-15,,,,0.0,,1.0
2024-01-16,,,,0.0,,1.0
2024-01-17,,,,0.0,,1.0
2024-01-18,,,,0.0,,1.0
2024-01-19,,,,0.0,,1.0
2024-01-20,,,,0.0,,1.0
2024-01-21,,,,0.0,,1.0
2024-01-22,,,,0.0,,1.0
2024-01-23,,,,0.0,,1.0
2024-01-24,,,,0.0,,1.0
2024-01-25,,,,0.0,,1.0
2024-01-26,,,,0.0,,1.0
2024-01-27,,,,0.0,,1.0
2024-01-28,,,,0.0,,1.0
2024-01-29,,,,0.0,,1.0
2024-01-30,,,,0.0,,1.0
2024-01-31,,,,0.0,,1.0
2024-02-01,,-0.01920410502714609,,0.001,,1.0
2024-02-02,,0.02283404877702592,,0.0,,1.0
2024-02-03,,0.020544568417703656,,0.0,,1.0
2024-02-04,,0.0014338705769340492,,0.0,,1.0
2024-02-05,,-0.008867048346703533,,0.0,,1.0
2024-02-06,,0.002622440322273278,,0.0,,1.0
2024-02-07,,0.0049553945224068505,,0.0,,1.0
2024-02-08,,0.016753365706067332,,0.0,,1.0
2024-02-09,,0.008261408813583195,,0.0,,1.0
2024-02-10,,0.02477048086550622,,0.0,,1.0
2024-02-11,,0.00500112876003882,,0.0,,1.0
2024-02-12,,0.014325022533090271,,0.0,,1.0
2024-02-13,,0.02217492457414718,,0.0,,1.0
2024-02-14,,-0.019719791826641152,,0.0,,1.0
2024-02-15,,0.03123226826228265,,0.0,,1.0
2024-02-16,,0.02225477377622532,,0.0,,1.0
2024-02-17,,-0.0019430023048101594,,0.0,,1.0
2024-02-18,,0.0024954344825070065,,0.0,,1.0
2024-02-19,,0.008416774220672742,,0.0,,1.0
2024-02-20,,0.014630718750841664,,0.0,,1.0
2024-02-21,,-0.016963279247575236,,0.0,,1.0
2024-02-22,,-0.014265762259980176,,0.0,,1.0
2024-02-23,,-0.010482293510396081,,0.0,,1.0
2024-02-24,,0.04832631302071902,,0.0,,1.0
2024-02-25,,0.015215377772303274,,0.0,,1.0
2024-02-26,,0.000867281920583475,,0.0,,1.0
2024-02-27,,0.0198404462215999,,0.0,,1.0
2024-02-28,,0.023950841867234854,,0.0,,1.0
2024-02-29,,0.006697549312780094,,0.0,,1.0
2024-03-01,,0.0075469728246725055,,0.001,,1.0
2024-03-02,,0.04136560133220779,,0.0,,1.0
2024-03-03,,0.1086258198148151,,0.0,,1.0
2024-03-04,,-0.015489840952144994,,0.0,,1.0
2024-03-05,,0.010427638087332958,,0.0,,1.0
2024-03-06,,-0.05023064153057333,,0.0,,1.0
2024-03-07,,0.06870311508134434,,0.0,,1.0
2024-03-08,,0.014371952444953276,,0.0,,1.0
2024-03-09,,-0.003028361587576278,,0.0,,1.0
2024-03-10,,0.0039344337593687825,,0.0,,1.0
2024-03-11,,-0.005059036882372501,,0.0,,1.0
2024-03-12,,0.0631791641877944,,0.0,,1.0
2024-03-13,,-0.026505497103787024,,0.0,,1.0
2024-03-14,,0.026226322903742074,,0.0,,1.0
2024-03-15,,-0.018038946120843478,,0.0,,1.0
2024-03-16,,-0.04354010487094351,,0.0,,1.0
2024-03-17,,-0.06725302863620228,,0.0,,1.0
2024-03-18,,0.0273110047815861,,0.0,,1.0
2024-03-19,,-0.010442972343551515,,0.0,,1.0
2024-03-20,,-0.1018707490926571,,0.0,,1.0
2024-03-21,,0.09017963631267298,,0.0,,1.0
2024-03-22,,0.012772531303590082,,0.0,,1.0
2024-03-23,,-0.015981328260755732,,0.0,,1.0
2024-03-24,,0.01709465152291103,,0.0,,1.0
2024-03-25,,0.04187742479235472,,0.0,,1.0
2024-03-26,,0.03429311879932834,,0.0,,1.0
2024-03-27,,0.019413062793749453,,0.0,,1.0
2024-03-28,,-0.010735962389003215,,0.0,,1.0
2024-03-29,,0.011063245529132695,,0.0,,1.0
2024-03-30,,0.029115738505274498,,0.0,,1.0
2024-03-31,,-0.012977947562025062,,0.0,,1.0
